행정구역,2017년12월_남자인구수,2017년12월_여자인구수,2017년12월_계,2018년01월_남자인구수,2018년01월_여자인구수,2018년01월_계,2018년02월_남자인구수,2018년02월_여자인구수,2018년02월_계,2018년03월_남자인구수,2018년03월_여자인구수,2018년03월_계,2018년04월_남자인구수,2018년04월_여자인구수,2018년04월_계,2018년05월_남자인구수,2018년05월_여자인구수,2018년05월_계,,,,,,
서울특별시 은평구 역촌동(1138062500),8,10,18,15,17,32,13,17,30,8,19,27,17,14,31,15,14,29,,,,,,
서울특별시 은평구 신사제1동(1138063100),8,6,14,5,8,13,8,6,14,5,2,7,2,5,7,9,12,21,,,,,,
서울특별시 은평구 신사제2동(1138063200),0,8,8,7,8,15,3,5,8,9,1,10,4,8,12,2,5,7,,,,,,
서울특별시 은평구 증산동(1138064000),4,8,12,8,6,14,1,3,4,4,3,7,2,2,4,2,4,6,,,,,,
서울특별시 은평구 수색동(1138065000),2,3,5,1,2,3,2,3,5,3,5,8,1,5,6,3,3,6,,,,,,
서울특별시 은평구 진관동(1138069000),8,13,21,17,13,30,20,7,27,9,11,20,9,10,19,17,7,24,,,,,,
서울특별시 서대문구 (1141000000),71,75,146,76,73,149,80,58,138,92,72,164,87,80,167,72,72,144,,,,,,
서울특별시 서대문구 천연동(1141052000),4,6,10,10,8,18,4,2,6,13,5,18,8,4,12,9,5,14,,,,,,
서울특별시 서대문구 북아현동(1141055500),3,6,9,7,5,12,16,5,21,12,9,21,7,6,13,4,6,10,,,,,,
서울특별시 서대문구 충현동(1141056500),2,3,5,5,3,8,2,0,2,1,3,4,3,4,7,3,4,7,,,,,,
서울특별시 서대문구 신촌동(1141058500),3,7,10,4,5,9,2,3,5,2,2,4,6,4,10,2,5,7,,,,,,
서울특별시 서대문구 연희동(1141061500),8,5,13,3,8,11,4,12,16,6,11,17,5,5,10,5,5,10,,,,,,
서울특별시 서대문구 홍제제1동(1141062000),8,2,10,7,5,12,8,5,13,5,3,8,7,6,13,3,6,9,,,,,,
서울특별시 서대문구 홍제제3동(1141064000),4,1,5,2,3,5,5,1,6,4,4,8,1,6,7,4,3,7,,,,,,
서울특별시 서대문구 홍제제2동(1141065500),6,1,7,5,3,8,1,2,3,6,4,10,4,4,8,4,5,9,,,,,,
서울특별시 서대문구 홍은제1동(1141066000),3,3,6,5,3,8,3,4,7,5,3,8,5,3,8,3,3,6,,,,,,
서울특별시 서대문구 홍은제2동(1141068500),4,3,7,6,6,12,6,6,12,6,3,9,7,0,7,9,5,14,,,,,,
서울특별시 서대문구 남가좌제1동(1141069000),6,11,17,9,5,14,8,3,11,6,9,15,11,10,21,9,7,16,,,,,,
서울특별시 서대문구 남가좌제2동(1141070000),4,6,10,3,3,6,6,7,13,4,3,7,7,8,15,1,5,6,,,,,,
서울특별시 서대문구 북가좌제1동(1141071000),12,9,21,3,7,10,9,2,11,7,6,13,7,11,18,7,6,13,,,,,,
서울특별시 서대문구 북가좌제2동(1141072000),4,12,16,7,9,16,6,6,12,15,7,22,9,9,18,9,7,16,,,,,,
서울특별시 마포구 (1144000000),90,116,206,123,100,223,98,128,226,120,107,227,91,120,211,101,96,197,,,,,,
서울특별시 마포구 아현동(1144055500),7,12,19,13,18,31,14,17,31,11,6,17,8,13,21,16,9,25,,,,,,
서울특별시 마포구 공덕동(1144056500),11,8,19,18,10,28,14,12,26,21,11,32,9,21,30,6,10,16,,,,,,
서울특별시 마포구 도화동(1144058500),4,12,16,10,8,18,12,13,25,9,9,18,7,8,15,6,11,17,,,,,,
서울특별시 마포구 용강동(1144059000),2,6,8,6,8,14,7,7,14,7,8,15,10,7,17,8,6,14,,,,,,
서울특별시 마포구 대흥동(1144060000),0,1,1,3,0,3,0,4,4,5,2,7,1,0,1,2,2,4,,,,,,
서울특별시 마포구 염리동(1144061000),0,2,2,6,2,8,3,2,5,1,1,2,3,5,8,2,0,2,,,,,,
서울특별시 마포구 신수동(1144063000),8,8,16,10,3,13,7,7,14,7,7,14,6,5,11,4,4,8,,,,,,
서울특별시 마포구 서강동(1144065500),6,7,13,9,9,18,5,8,13,7,6,13,6,9,15,13,4,17,,,,,,
서울특별시 마포구 서교동(1144066000),5,2,7,8,5,13,2,2,4,8,6,14,1,7,8,5,8,13,,,,,,
서울특별시 마포구 합정동(1144068000),7,8,15,5,5,10,2,12,14,5,12,17,1,2,3,5,4,9,,,,,,
서울특별시 마포구 망원제1동(1144069000),6,8,14,6,5,11,6,5,11,3,4,7,11,4,15,1,4,5,,,,,,
서울특별시 마포구 망원제2동(1144070000),2,9,11,3,7,10,3,12,15,9,5,14,2,3,5,5,3,8,,,,,,
서울특별시 마포구 연남동(1144071000),3,2,5,5,3,8,5,3,8,1,7,8,3,6,9,4,6,10,,,,,,
서울특별시 마포구 성산제1동(1144072000),3,4,7,5,5,10,2,3,5,7,1,8,3,10,13,3,4,7,,,,,,
서울특별시 마포구 성산제2동(1144073000),18,15,33,11,6,17,11,14,25,13,15,28,13,12,25,16,15,31,,,,,,
서울특별시 마포구 상암동(1144074000),8,12,20,5,6,11,5,7,12,6,7,13,7,8,15,5,6,11,,,,,,
서울특별시 양천구 (1147000000),99,99,198,101,120,221,79,125,204,88,111,199,97,93,190,115,114,229,,,,,,
서울특별시 양천구 목1동(1147051000),7,5,12,4,10,14,7,16,23,7,9,16,8,4,12,11,5,16,,,,,,
서울특별시 양천구 목2동(1147052000),9,7,16,8,11,19,10,14,24,13,13,26,13,8,21,8,9,17,,,,,,
서울특별시 양천구 목3동(1147053000),13,10,23,4,4,8,6,1,7,9,11,20,6,6,12,4,4,8,,,,,,
서울특별시 양천구 목4동(1147054000),3,3,6,5,6,11,4,5,9,4,5,9,4,6,10,2,5,7,,,,,,
서울특별시 양천구 목5동(1147055000),5,7,12,8,9,17,5,10,15,4,6,10,5,2,7,9,7,16,,,,,,
서울특별시 양천구 신월1동(1147056000),5,4,9,5,4,9,3,4,7,5,3,8,2,3,5,6,8,14,,,,,,
서울특별시 양천구 신월2동(1147057000),4,10,14,5,3,8,2,9,11,3,4,7,6,6,12,12,8,20,,,,,,
서울특별시 양천구 신월3동(1147058000),4,2,6,8,4,12,2,3,5,3,4,7,2,2,4,3,6,9,,,,,,
서울특별시 양천구 신월4동(1147059000),7,2,9,10,8,18,5,3,8,5,3,8,4,4,8,5,5,10,,,,,,
서울특별시 양천구 신월5동(1147060000),1,5,6,2,4,6,4,10,14,6,5,11,10,5,15,3,5,8,,,,,,
서울특별시 양천구 신월6동(1147061000),0,2,2,2,0,2,1,2,3,1,1,2,0,0,0,1,2,3,,,,,,
서울특별시 양천구 신월7동(1147061100),5,5,10,3,5,8,3,5,8,3,9,12,4,1,5,6,4,10,,,,,,
서울특별시 양천구 신정1동(1147062000),4,3,7,3,4,7,5,3,8,1,5,6,4,3,7,4,3,7,,,,,,
서울특별시 양천구 신정2동(1147063000),5,3,8,2,2,4,6,2,8,2,2,4,2,3,5,3,2,5,,,,,,
서울특별시 양천구 신정3동(1147064000),10,13,23,9,17,26,6,14,20,10,11,21,11,16,27,18,19,37,,,,,,
서울특별시 양천구 신정4동(1147065000),8,11,19,12,9,21,5,11,16,4,9,13,11,17,28,11,7,18,,,,,,
서울특별시 양천구 신정6동(1147067000),4,5,9,4,9,13,0,7,7,4,7,11,1,5,6,6,6,12,,,,,,
서울특별시 양천구 신정7동(1147068000),5,2,7,7,11,18,5,6,11,4,4,8,4,2,6,3,9,12,,,,,,
서울특별시 강서구 (1150000000),173,176,349,211,191,402,195,195,390,206,198,404,177,169,346,207,211,418,,,,,,
서울특별시 강서구 염창동(1150051000),11,12,23,8,12,20,13,25,38,13,13,26,11,10,21,14,11,25,,,,,,
서울특별시 강서구 등촌제1동(1150052000),11,4,15,12,6,18,13,13,26,7,6,13,12,8,20,10,9,19,,,,,,
서울특별시 강서구 등촌제2동(1150053000),5,7,12,8,9,17,7,4,11,9,8,17,8,3,11,7,8,15,,,,,,
서울특별시 강서구 등촌제3동(1150053500),8,5,13,7,9,16,12,11,23,13,4,17,6,7,13,11,7,18,,,,,,
서울특별시 강서구 화곡제1동(1150054000),16,13,29,25,30,55,26,21,47,20,24,44,16,24,40,30,26,56,,,,,,
서울특별시 강서구 화곡제2동(1150055000),9,7,16,8,4,12,4,8,12,16,12,28,3,7,10,5,10,15,,,,,,
서울특별시 강서구 화곡제3동(1150056000),6,12,18,6,7,13,4,4,8,3,6,9,7,2,9,9,4,13,,,,,,
서울특별시 강서구 화곡제4동(1150057000),13,5,18,5,6,11,8,7,15,9,7,16,5,15,20,6,9,15,,,,,,
서울특별시 강서구 화곡본동(1150059000),4,7,11,13,10,23,17,12,29,14,11,25,15,6,21,10,13,23,,,,,,
서울특별시 강서구 화곡제6동(1150059100),8,10,18,9,7,16,9,10,19,3,9,12,4,7,11,12,7,19,,,,,,
서울특별시 강서구 화곡제8동(1150059300),8,6,14,7,10,17,6,12,18,10,11,21,9,7,16,9,11,20,,,,,,
서울특별시 강서구 가양제1동(1150060300),9,14,23,15,11,26,12,7,19,11,8,19,9,7,16,11,10,21,,,,,,
서울특별시 강서구 가양제2동(1150060400),6,4,10,6,3,9,1,4,5,1,3,4,2,4,6,5,4,9,,,,,,
서울특별시 강서구 가양제3동(1150060500),6,9,15,4,7,11,4,3,7,9,9,18,5,6,11,11,13,24,,,,,,
서울특별시 강서구 발산제1동(1150061100),11,10,21,16,7,23,9,6,15,10,11,21,17,10,27,8,15,23,,,,,,
서울특별시 강서구 우장산동(1150061500),9,14,23,12,12,24,12,13,25,13,16,29,11,14,25,8,10,18,,,,,,
서울특별시 강서구 공항동(1150062000),5,13,18,8,7,15,14,13,27,12,16,28,11,14,25,15,11,26,,,,,,
서울특별시 강서구 방화제1동(1150063000),12,15,27,25,19,44,12,10,22,16,14,30,10,8,18,15,16,31,,,,,,
서울특별시 강서구 방화제2동(1150064000),9,1,10,9,4,13,7,2,9,8,4,12,8,2,10,6,7,13,,,,,,
서울특별시 강서구 방화제3동(1150064100),7,8,15,8,11,19,5,10,15,9,6,15,8,8,16,5,10,15,,,,,,
서울특별시 구로구 (1153000000),129,121,250,138,126,264,110,107,217,118,111,229,117,103,220,120,111,231,,,,,,
서울특별시 구로구 신도림동(1153051000),23,20,43,17,15,32,14,14,28,13,12,25,14,13,27,10,22,32,,,,,,
서울특별시 구로구 구로제1동(1153052000),12,12,24,6,5,11,6,13,19,9,12,21,13,9,22,9,8,17,,,,,,
서울특별시 구로구 구로제2동(1153053000),5,6,11,2,5,7,2,7,9,4,3,7,3,3,6,8,3,11,,,,,,
서울특별시 구로구 구로제3동(1153054000),10,5,15,9,5,14,7,2,9,5,3,8,8,3,11,4,6,10,,,,,,
서울특별시 구로구 구로제4동(1153055000),6,9,15,5,9,14,8,3,11,5,5,10,7,10,17,9,3,12,,,,,,
서울특별시 구로구 구로제5동(1153056000),6,13,19,14,10,24,16,9,25,11,14,25,8,7,15,6,16,22,,,,,,
서울특별시 구로구 가리봉동(1153059500),1,0,1,1,1,2,1,1,2,1,2,3,0,1,1,2,0,2,,,,,,
서울특별시 구로구 고척제1동(1153072000),7,1,8,10,7,17,7,6,13,4,5,9,6,6,12,9,4,13,,,,,,
서울특별시 구로구 고척제2동(1153073000),5,8,13,4,19,23,5,7,12,7,8,15,9,2,11,2,4,6,,,,,,
서울특별시 구로구 개봉제1동(1153074000),13,6,19,9,10,19,7,10,17,11,9,20,12,8,20,6,8,14,,,,,,
서울특별시 구로구 개봉제2동(1153075000),11,7,18,18,14,32,9,13,22,3,13,16,7,9,16,17,12,29,,,,,,
서울특별시 구로구 개봉제3동(1153076000),3,7,10,14,8,22,10,1,11,12,10,22,9,8,17,7,2,9,,,,,,
서울특별시 구로구 오류제1동(1153077000),7,5,12,6,4,10,7,4,11,11,3,14,4,4,8,12,8,20,,,,,,
서울특별시 구로구 오류제2동(1153078000),11,11,22,12,10,22,7,7,14,16,11,27,12,15,27,9,6,15,,,,,,
서울특별시 구로구 수궁동(1153079000),9,11,20,11,4,15,4,10,14,6,1,7,5,5,10,10,9,19,,,,,,
서울특별시 금천구 (1154500000),70,48,118,69,58,127,64,53,117,57,77,134,45,60,105,61,46,107,,,,,,
서울특별시 금천구 가산동(1154551000),7,5,12,9,3,12,5,6,11,7,6,13,5,4,9,1,1,2,,,,,,
서울특별시 금천구 독산제1동(1154561000),10,11,21,13,15,28,14,12,26,14,16,30,5,16,21,12,9,21,,,,,,
서울특별시 금천구 독산제2동(1154562000),9,4,13,5,2,7,8,4,12,4,7,11,8,5,13,7,4,11,,,,,,
서울특별시 금천구 독산제3동(1154563000),10,7,17,3,7,10,4,6,10,6,3,9,4,6,10,7,4,11,,,,,,
서울특별시 금천구 독산제4동(1154564000),4,2,6,3,7,10,4,1,5,3,5,8,3,2,5,2,3,5,,,,,,
서울특별시 금천구 시흥제1동(1154567000),10,4,14,12,11,23,13,8,21,7,16,23,8,11,19,14,9,23,,,,,,
서울특별시 금천구 시흥제2동(1154568000),9,7,16,12,1,13,3,3,6,3,5,8,3,6,9,7,4,11,,,,,,
서울특별시 금천구 시흥제3동(1154569000),2,0,2,3,3,6,7,0,7,5,7,12,1,2,3,2,2,4,,,,,,
서울특별시 금천구 시흥제4동(1154570000),4,3,7,4,5,9,2,5,7,3,8,11,5,3,8,4,6,10,,,,,,
서울특별시 금천구 시흥제5동(1154571000),5,5,10,5,4,9,4,8,12,5,4,9,3,5,8,5,4,9,,,,,,
서울특별시 영등포구 (1156000000),102,105,207,125,140,265,121,118,239,122,114,236,134,112,246,120,138,258,,,,,,
서울특별시 영등포구 영등포본동(1156051500),7,5,12,9,3,12,8,5,13,10,10,20,9,4,13,11,6,17,,,,,,
서울특별시 영등포구 영등포동(1156053500),8,8,16,7,11,18,8,5,13,7,3,10,9,11,20,6,12,18,,,,,,
서울특별시 영등포구 여의동(1156054000),7,10,17,7,8,15,6,9,15,12,9,21,8,17,25,11,14,25,,,,,,
서울특별시 영등포구 당산제1동(1156055000),1,6,7,14,9,23,8,8,16,9,6,15,11,8,19,4,7,11,,,,,,
서울특별시 영등포구 당산제2동(1156056000),13,10,23,9,11,20,12,15,27,12,16,28,12,6,18,14,18,32,,,,,,
서울특별시 영등포구 도림동(1156058500),8,5,13,4,6,10,7,3,10,7,6,13,9,8,17,10,5,15,,,,,,
서울특별시 영등포구 문래동(1156060500),11,22,33,18,18,36,18,10,28,15,11,26,9,11,20,15,19,34,,,,,,
서울특별시 영등포구 양평제1동(1156061000),11,3,14,7,12,19,8,11,19,8,7,15,16,8,24,2,13,15,,,,,,
서울특별시 영등포구 양평제2동(1156062000),12,10,22,10,14,24,12,13,25,8,13,21,13,9,22,7,11,18,,,,,,
서울특별시 영등포구 신길제1동(1156063000),3,1,4,7,5,12,5,5,10,1,3,4,3,0,3,3,3,6,,,,,,
서울특별시 영등포구 신길제3동(1156065000),3,4,7,5,3,8,1,5,6,3,2,5,3,3,6,5,5,10,,,,,,
서울특별시 영등포구 신길제4동(1156066000),0,1,1,1,3,4,0,0,0,0,1,1,1,0,1,1,2,3,,,,,,
서울특별시 영등포구 신길제5동(1156067000),0,2,2,1,2,3,0,1,1,2,2,4,2,1,3,8,1,9,,,,,,
서울특별시 영등포구 신길제6동(1156068000),4,3,7,3,11,14,3,3,6,4,7,11,5,4,9,5,6,11,,,,,,
서울특별시 영등포구 신길제7동(1156069000),6,5,11,8,8,16,15,10,25,10,10,20,5,7,12,5,3,8,,,,,,
서울특별시 영등포구 대림제1동(1156070000),2,2,4,2,2,4,2,1,3,3,2,5,7,5,12,1,5,6,,,,,,
서울특별시 영등포구 대림제2동(1156071000),1,1,2,3,5,8,4,4,8,2,0,2,4,2,6,3,4,7,,,,,,
서울특별시 영등포구 대림제3동(1156072000),5,7,12,10,9,19,4,10,14,9,6,15,8,8,16,9,4,13,,,,,,
서울특별시 동작구 (1159000000),96,104,200,102,100,202,109,109,218,112,110,222,118,110,228,99,110,209,,,,,,
서울특별시 동작구 노량진제1동(1159051000),10,6,16,6,11,17,9,10,19,5,9,14,13,12,25,8,11,19,,,,,,
서울특별시 동작구 노량진제2동(1159052000),2,1,3,2,3,5,1,4,5,1,0,1,5,1,6,1,2,3,,,,,,
서울특별시 동작구 상도제1동(1159053000),13,11,24,9,10,19,11,7,18,13,9,22,17,11,28,10,16,26,,,,,,
서울특별시 동작구 상도제2동(1159054000),9,7,16,8,5,13,8,14,22,7,10,17,7,12,19,12,10,22,,,,,,
서울특별시 동작구 상도제3동(1159055000),3,9,12,6,10,16,10,9,19,13,8,21,5,12,17,7,9,16,,,,,,
서울특별시 동작구 상도제4동(1159056000),6,5,11,10,7,17,13,8,21,10,9,19,8,11,19,11,8,19,,,,,,
서울특별시 동작구 흑석동(1159060500),8,11,19,9,7,16,8,8,16,6,11,17,9,12,21,8,8,16,,,,,,
서울특별시 동작구 사당제1동(1159062000),5,4,9,6,7,13,7,2,9,8,6,14,10,5,15,5,10,15,,,,,,
서울특별시 동작구 사당제2동(1159063000),8,6,14,10,6,16,9,5,14,13,13,26,12,8,20,6,8,14,,,,,,
서울특별시 동작구 사당제3동(1159064000),5,13,18,4,10,14,13,11,24,5,7,12,1,2,3,6,12,18,,,,,,
서울특별시 동작구 사당제4동(1159065000),5,4,9,1,3,4,3,7,10,5,9,14,5,7,12,4,1,5,,,,,,
서울특별시 동작구 사당제5동(1159065100),2,7,9,8,5,13,2,3,5,5,2,7,9,2,11,4,0,4,,,,,,
서울특별시 동작구 대방동(1159066000),8,6,14,7,8,15,7,6,13,14,6,20,7,6,13,6,4,10,,,,,,
서울특별시 동작구 신대방제1동(1159067000),8,6,14,3,3,6,4,8,12,5,3,8,4,6,10,6,4,10,,,,,,
서울특별시 동작구 신대방제2동(1159068000),4,8,12,13,5,18,4,7,11,2,8,10,6,3,9,5,7,12,,,,,,
서울특별시 관악구 (1162000000),118,100,218,132,90,222,132,96,228,124,93,217,126,112,238,124,99,223,,,,,,
서울특별시 관악구 보라매동(1162052500),9,7,16,7,2,9,9,4,13,9,7,16,5,4,9,8,3,11,,,,,,
서울특별시 관악구 청림동(1162054500),4,7,11,14,5,19,7,3,10,9,9,18,3,4,7,4,9,13,,,,,,
서울특별시 관악구 성현동(1162056500),6,6,12,8,4,12,9,7,16,6,8,14,4,5,9,16,14,30,,,,,,
서울특별시 관악구 행운동(1162057500),11,8,19,5,6,11,11,8,19,12,9,21,6,7,13,6,7,13,,,,,,
서울특별시 관악구 낙성대동(1162058500),5,2,7,3,5,8,4,6,10,5,1,6,3,2,5,6,6,12,,,,,,
서울특별시 관악구 청룡동(1162059500),4,2,6,5,2,7,4,7,11,4,1,5,4,5,9,2,4,6,,,,,,
서울특별시 관악구 은천동(1162060500),8,6,14,17,9,26,15,3,18,5,7,12,18,10,28,8,10,18,,,,,,
서울특별시 관악구 중앙동(1162061500),1,4,5,2,1,3,2,5,7,9,1,10,2,3,5,3,4,7,,,,,,
서울특별시 관악구 인헌동(1162062500),9,8,17,5,7,12,7,8,15,5,5,10,9,1,10,10,3,13,,,,,,
서울특별시 관악구 남현동(1162063000),4,3,7,5,5,10,5,3,8,8,6,14,7,9,16,6,7,13,,,,,,
서울특별시 관악구 서원동(1162064500),3,4,7,3,4,7,5,3,8,6,4,10,6,6,12,4,2,6,,,,,,
서울특별시 관악구 신원동(1162065500),1,5,6,5,4,9,5,4,9,6,4,10,4,1,5,8,4,12,,,,,,
서울특별시 관악구 서림동(1162066500),10,3,13,9,2,11,12,5,17,3,8,11,4,6,10,3,3,6,,,,,,
서울특별시 관악구 신사동(1162068500),4,5,9,6,4,10,8,6,14,4,3,7,5,4,9,4,5,9,,,,,,
서울특별시 관악구 신림동(1162069500),2,4,6,3,3,6,2,5,7,3,2,5,5,3,8,8,1,9,,,,,,
서울특별시 관악구 난향동(1162071500),5,4,9,3,2,5,1,7,8,4,4,8,2,10,12,5,2,7,,,,,,
서울특별시 관악구 조원동(1162072500),5,2,7,4,3,7,4,0,4,3,2,5,7,5,12,0,5,5,,,,,,
서울특별시 관악구 대학동(1162073500),1,3,4,11,2,13,3,4,7,5,1,6,8,5,13,1,2,3,,,,,,
서울특별시 관악구 삼성동(1162074500),6,5,11,6,6,12,5,3,8,6,3,9,2,4,6,7,1,8,,,,,,
서울특별시 관악구 미성동(1162076500),10,5,15,2,6,8,6,3,9,8,5,13,13,10,23,9,4,13,,,,,,
서울특별시 관악구 난곡동(1162077500),10,7,17,9,8,17,8,2,10,4,3,7,9,8,17,6,3,9,,,,,,
서울특별시 서초구 (1165000000),123,104,227,112,132,244,133,109,242,128,129,257,136,125,261,127,108,235,,,,,,
서울특별시 서초구 서초1동(1165051000),9,3,12,5,8,13,9,8,17,10,3,13,5,3,8,5,3,8,,,,,,
서울특별시 서초구 서초2동(1165052000),9,6,15,6,3,9,4,2,6,2,6,8,6,5,11,1,7,8,,,,,,
서울특별시 서초구 서초3동(1165053000),5,5,10,6,10,16,11,5,16,11,10,21,7,7,14,7,6,13,,,,,,
서울특별시 서초구 서초4동(1165053100),7,8,15,8,8,16,6,10,16,7,7,14,5,11,16,13,7,20,,,,,,
서울특별시 서초구 잠원동(1165054000),15,11,26,10,13,23,15,8,23,15,17,32,18,11,29,12,12,24,,,,,,
서울특별시 서초구 반포본동(1165055000),3,2,5,0,2,2,5,0,5,2,2,4,2,2,4,0,1,1,,,,,,
서울특별시 서초구 반포1동(1165056000),6,4,10,6,8,14,7,2,9,8,8,16,7,4,11,10,2,12,,,,,,
서울특별시 서초구 반포2동(1165057000),9,5,14,6,7,13,9,10,19,2,3,5,9,8,17,3,3,6,,,,,,
서울특별시 서초구 반포3동(1165058000),4,2,6,3,5,8,4,3,7,6,4,10,8,5,13,5,5,10,,,,,,
서울특별시 서초구 반포4동(1165058100),4,8,12,5,5,10,8,6,14,3,6,9,5,9,14,9,5,14,,,,,,
서울특별시 서초구 방배본동(1165059000),6,3,9,2,4,6,7,5,12,2,3,5,5,3,8,4,8,12,,,,,,
서울특별시 서초구 방배1동(1165060000),5,3,8,5,4,9,5,7,12,6,6,12,3,5,8,7,9,16,,,,,,
서울특별시 서초구 방배2동(1165061000),3,8,11,1,5,6,5,7,12,10,7,17,9,7,16,5,12,17,,,,,,
서울특별시 서초구 방배3동(1165062000),5,6,11,2,3,5,1,4,5,3,8,11,4,5,9,3,3,6,,,,,,
서울특별시 서초구 방배4동(1165062100),4,5,9,18,10,28,4,5,9,8,5,13,5,9,14,6,5,11,,,,,,
서울특별시 서초구 양재1동(1165065100),16,12,28,17,12,29,19,9,28,17,17,34,17,20,37,19,13,32,,,,,,
서울특별시 서초구 양재2동(1165065200),6,2,8,6,13,19,7,12,19,8,10,18,9,5,14,11,4,15,,,,,,
서울특별시 서초구 내곡동(1165066000),7,11,18,6,12,18,7,6,13,8,7,15,12,6,18,7,3,10,,,,,,
서울특별시 강남구 (1168000000),145,120,265,152,142,294,124,113,237,151,145,296,161,111,272,139,137,276,,,,,,
서울특별시 강남구 신사동(1168051000),1,6,7,3,9,12,4,5,9,8,9,17,9,2,11,5,5,10,,,,,,
서울특별시 강남구 논현1동(1168052100),2,7,9,6,2,8,7,7,14,3,9,12,7,5,12,8,11,19,,,,,,
서울특별시 강남구 논현2동(1168053100),2,4,6,12,7,19,9,5,14,3,6,9,13,2,15,5,5,10,,,,,,
서울특별시 강남구 압구정동(1168054500),7,5,12,5,8,13,10,5,15,8,11,19,7,4,11,12,9,21,,,,,,
서울특별시 강남구 청담동(1168056500),10,9,19,10,6,16,6,5,11,11,12,23,8,4,12,5,5,10,,,,,,
서울특별시 강남구 삼성1동(1168058000),5,2,7,4,4,8,3,4,7,3,2,5,2,7,9,8,3,11,,,,,,
서울특별시 강남구 삼성2동(1168059000),9,10,19,10,6,16,10,7,17,6,7,13,7,19,26,7,6,13,,,,,,
서울특별시 강남구 대치1동(1168060000),4,0,4,5,5,10,5,1,6,6,1,7,3,2,5,4,3,7,,,,,,
서울특별시 강남구 대치2동(1168061000),7,2,9,6,2,8,6,1,7,7,8,15,3,0,3,6,3,9,,,,,,
서울특별시 강남구 대치4동(1168063000),4,3,7,3,0,3,1,3,4,4,3,7,6,3,9,7,1,8,,,,,,
서울특별시 강남구 역삼1동(1168064000),7,10,17,8,11,19,14,12,26,9,9,18,8,6,14,4,12,16,,,,,,
서울특별시 강남구 역삼2동(1168065000),10,4,14,14,10,24,9,9,18,9,6,15,9,9,18,13,13,26,,,,,,
서울특별시 강남구 도곡1동(1168065500),3,5,8,6,3,9,5,5,10,9,2,11,4,6,10,4,7,11,,,,,,
서울특별시 강남구 도곡2동(1168065600),15,6,21,10,11,21,7,4,11,10,12,22,12,5,17,8,5,13,,,,,,
서울특별시 강남구 개포1동(1168066000),1,5,6,4,5,9,1,8,9,1,4,5,6,1,7,0,6,6,,,,,,
서울특별시 강남구 개포2동(1168067000),3,1,4,2,1,3,1,1,2,1,2,3,2,0,2,2,1,3,,,,,,
서울특별시 강남구 개포4동(1168069000),6,5,11,9,4,13,5,6,11,7,7,14,9,2,11,5,5,10,,,,,,
서울특별시 강남구 세곡동(1168070000),18,11,29,14,18,32,7,11,18,21,14,35,22,14,36,20,11,31,,,,,,
서울특별시 강남구 일원본동(1168072000),10,8,18,7,9,16,2,4,6,9,5,14,7,7,14,4,9,13,,,,,,
서울특별시 강남구 일원1동(1168073000),4,4,8,3,1,4,5,3,8,4,2,6,3,3,6,6,5,11,,,,,,
서울특별시 강남구 일원2동(1168074000),8,6,14,5,12,17,4,2,6,8,6,14,6,6,12,2,4,6,,,,,,
서울특별시 강남구 수서동(1168075000),9,7,16,6,8,14,3,5,8,4,8,12,8,4,12,4,8,12,,,,,,
서울특별시 송파구 (1171000000),241,168,409,208,171,379,207,207,414,191,192,383,191,211,402,233,184,417,,,,,,
서울특별시 송파구 풍납1동(1171051000),2,3,5,5,5,10,3,4,7,6,1,7,7,5,12,7,5,12,,,,,,
서울특별시 송파구 풍납2동(1171052000),11,10,21,12,4,16,8,10,18,5,10,15,10,6,16,11,5,16,,,,,,
서울특별시 송파구 거여1동(1171053100),2,4,6,3,1,4,1,4,5,5,2,7,1,0,1,3,5,8,,,,,,
서울특별시 송파구 거여2동(1171053200),8,3,11,4,5,9,3,8,11,4,2,6,5,5,10,5,0,5,,,,,,
서울특별시 송파구 마천1동(1171054000),5,3,8,5,0,5,3,10,13,5,3,8,3,4,7,4,3,7,,,,,,
서울특별시 송파구 마천2동(1171055000),3,3,6,1,4,5,5,7,12,7,8,15,4,4,8,1,1,2,,,,,,
서울특별시 송파구 방이1동(1171056100),3,2,5,3,2,5,5,4,9,6,4,10,4,3,7,3,3,6,,,,,,
서울특별시 송파구 방이2동(1171056200),14,6,20,10,6,16,9,10,19,5,7,12,5,8,13,8,7,15,,,,,,
서울특별시 송파구 오륜동(1171056600),3,1,4,2,4,6,0,2,2,1,4,5,4,1,5,4,4,8,,,,,,
서울특별시 송파구 오금동(1171057000),10,4,14,12,7,19,8,12,20,10,9,19,8,13,21,10,12,22,,,,,,
서울특별시 송파구 송파1동(1171058000),14,6,20,6,12,18,9,8,17,10,7,17,9,4,13,8,15,23,,,,,,
서울특별시 송파구 송파2동(1171059000),4,3,7,6,4,10,3,3,6,9,5,14,4,2,6,4,2,6,,,,,,
서울특별시 송파구 석촌동(1171060000),14,9,23,8,10,18,15,9,24,6,5,11,11,13,24,19,7,26,,,,,,
서울특별시 송파구 삼전동(1171061000),10,11,21,8,10,18,15,8,23,14,12,26,12,12,24,12,9,21,,,,,,
서울특별시 송파구 가락본동(1171062000),13,8,21,9,5,14,6,10,16,8,11,19,14,17,31,14,10,24,,,,,,
서울특별시 송파구 가락1동(1171063100),0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,
